userid,failedloginattempts,accessfrequency,loginconsistency,deviceconsistency,accesslocationconsistency,dwelltime,mousemovements,scrollbehavior,incidentreports,passwordresets,anomalousactivity,sessionduration,mfaenabled,failedtransactions,accesstosensitivedata
1f06a992-682c-4427-aca7-,0,3,4,0,1,203.01,340.95,141.03,0,3,1,0:32:01,0,4,0
1f06a992-682c-4427-aca7-,1,3,1,0,0,184.83,279.62,80.28,0,3,0,0:41:01,0,7,1
1f06a992-682c-4427-aca7-,1,1,2,1,1,169.29,221.53,57.19,3,3,0,1:49:26,0,5,0
1f06a992-682c-4427-aca7-,1,3,8,0,0,178.06,198.7,147.5,0,1,0,1:08:16,0,5,0
304450f6-cd9d-4d7a-a771-,0,1,5,0,1,65.8,319.28,116.47,3,2,0,0:42:51,0,6,1
304450f6-cd9d-4d7a-a771-,0,3,5,1,1,204.57,170.91,47.7,5,0,0,1:18:36,0,7,1
304450f6-cd9d-4d7a-a771-,1,2,9,0,0,163.1,124.52,75.52,3,3,1,2:19:56,0,5,1
304450f6-cd9d-4d7a-a771-,1,2,7,1,0,92.64,310.98,124.34,3,0,0,1:38:07,0,0,0
304450f6-cd9d-4d7a-a771-,1,3,2,0,0,90.98,304.13,145.22,0,2,0,0:29:23,0,6,1
304450f6-cd9d-4d7a-a771-,1,1,2,1,0,133.35,248.26,73.94,2,1,1,2:01:34,0,1,0
50d12285-be17-4ae2-a7b9-,1,2,4,0,1,118.53,121.26,123.89,4,3,1,1:10:39,1,0,0
50d12285-be17-4ae2-a7b9-,0,1,9,0,0,196.8,116.56,92.64,1,3,0,0:33:35,1,10,0
50d12285-be17-4ae2-a7b9-,1,3,6,0,0,60.93,324.93,135.17,2,3,0,1:23:23,1,10,0
50d12285-be17-4ae2-a7b9-,0,2,3,1,0,152.44,202.0,110.97,4,2,0,1:38:31,1,2,1
50d12285-be17-4ae2-a7b9-,1,1,10,1,1,223.49,142.32,139.27,0,0,0,1:03:03,1,4,0
50d12285-be17-4ae2-a7b9-,1,1,5,0,0,187.28,248.37,142.0,2,2,0,0:53:15,1,0,1
6fb83613-3f4f-45cb-980a-,1,3,6,0,1,63.69,249.56,124.81,4,2,0,0:16:23,0,6,1
6fb83613-3f4f-45cb-980a-,1,3,3,1,1,133.33,344.25,120.02,1,3,1,1:53:54,0,1,0
6fb83613-3f4f-45cb-980a-,0,3,5,0,0,84.23,241.48,120.84,5,2,0,1:58:14,0,6,0
6fb83613-3f4f-45cb-980a-,1,1,6,0,0,229.63,110.19,146.04,3,1,0,0:17:33,0,9,0
6fb83613-3f4f-45cb-980a-,1,3,6,0,1,106.21,265.33,85.56,0,0,1,1:37:33,0,4,1
6fb83613-3f4f-45cb-980a-,0,2,9,1,0,212.52,186.08,129.23,5,3,0,1:17:08,0,8,1
8a57a95d-d5fa-42d9-97a3-,1,3,2,1,0,97.53,201.16,104.44,1,3,0,2:12:26,1,6,1
8a57a95d-d5fa-42d9-97a3-,0,3,9,1,0,248.09,329.5,141.92,5,0,1,1:25:55,1,6,1
8a57a95d-d5fa-42d9-97a3-,0,3,3,1,1,82.41,169.11,51.69,1,3,1,0:43:03,1,0,1
8a57a95d-d5fa-42d9-97a3-,1,3,3,1,1,83.77,333.16,112.07,3,3,1,1:27:59,1,9,1
8a57a95d-d5fa-42d9-97a3-,1,1,10,0,0,53.01,296.18,76.17,4,2,1,0:35:17,1,8,0
8a57a95d-d5fa-42d9-97a3-,0,3,3,0,1,127.33,339.66,137.89,5,2,0,1:57:25,1,4,1
bc62f7dc-552d-44c8-b49c-,1,2,10,1,0,184.45,121.93,106.06,0,2,0,1:49:23,1,5,0
bc62f7dc-552d-44c8-b49c-,0,3,10,0,0,111.73,142.0,107.9,0,1,1,0:23:15,1,10,0
bc62f7dc-552d-44c8-b49c-,0,1,7,1,0,55.1,117.0,142.58,1,2,1,2:03:01,1,2,1
bc62f7dc-552d-44c8-b49c-,0,2,9,0,0,235.97,111.24,105.38,3,0,0,1:22:01,1,3,0
bc62f7dc-552d-44c8-b49c-,0,2,7,1,0,107.98,238.77,71.53,4,2,1,0:47:51,1,2,0
bc62f7dc-552d-44c8-b49c-,0,2,7,0,0,117.29,309.55,97.33,0,0,0,1:26:25,1,0,1
77efcf89-7863-4ae2-8171-,0,2,6,0,1,85.26,171.1,51.07,0,0,0,2:09:51,0,6,1
77efcf89-7863-4ae2-8171-,1,3,9,1,1,130.02,327.02,98.87,2,3,0,1:54:10,0,5,0
77efcf89-7863-4ae2-8171-,0,1,9,0,1,234.77,175.76,56.15,3,0,1,0:41:49,0,3,1
77efcf89-7863-4ae2-8171-,0,3,4,1,0,73.06,166.58,51.41,3,3,1,0:25:40,0,5,1
77efcf89-7863-4ae2-8171-,1,3,7,1,1,99.12,273.91,134.39,0,3,0,0:15:30,0,2,1
77efcf89-7863-4ae2-8171-,0,2,4,0,1,75.3,268.25,80.84,3,1,0,1:51:31,0,4,0
e24d3fdb-2928-4c2d-bcb5-,1,3,10,1,0,146.37,335.62,138.12,0,0,0,1:20:37,0,8,0
e24d3fdb-2928-4c2d-bcb5-,0,3,6,0,0,219.03,219.75,93.13,4,2,1,2:21:31,0,1,0
e24d3fdb-2928-4c2d-bcb5-,0,2,2,1,1,57.67,109.83,54.4,3,1,1,0:18:32,0,5,0
e24d3fdb-2928-4c2d-bcb5-,0,3,4,1,0,119.97,281.03,149.16,5,2,0,0:30:42,0,7,0
e24d3fdb-2928-4c2d-bcb5-,0,1,2,1,0,74.73,202.87,64.72,0,2,1,1:58:07,0,5,0
e24d3fdb-2928-4c2d-bcb5-,1,1,6,1,1,248.14,260.99,61.58,3,3,1,0:11:04,0,8,1
f388fa7f-8e84-4f79-ab30-,0,3,10,0,1,197.58,247.97,51.72,1,2,0,1:08:54,0,7,0
f388fa7f-8e84-4f79-ab30-,1,2,10,0,0,116.33,184.13,115.22,4,0,1,1:53:03,0,2,0
f388fa7f-8e84-4f79-ab30-,0,2,5,1,0,203.12,282.16,102.4,0,1,1,2:10:51,0,5,0
f388fa7f-8e84-4f79-ab30-,1,2,6,1,1,221.59,133.21,93.03,2,1,0,0:38:46,0,0,0
f388fa7f-8e84-4f79-ab30-,0,1,5,0,0,241.09,137.52,75.69,1,2,0,2:09:18,0,0,0
f388fa7f-8e84-4f79-ab30-,0,1,10,0,0,184.39,178.53,52.8,2,3,1,1:08:03,0,2,0
13fd89b0-51dd-4959-ace4-,0,2,8,0,1,77.15,297.57,129.88,4,0,0,0:17:24,1,1,1
13fd89b0-51dd-4959-ace4-,0,1,8,1,1,115.02,268.14,44.81,3,3,0,1:57:03,1,0,1
13fd89b0-51dd-4959-ace4-,1,2,7,1,1,53.16,212.78,65.43,1,3,1,1:04:09,1,8,0
13fd89b0-51dd-4959-ace4-,1,1,7,0,0,94.64,318.76,56.46,5,1,1,0:40:32,1,4,1
13fd89b0-51dd-4959-ace4-,1,2,4,0,1,122.99,164.14,122.88,5,0,0,2:12:35,1,7,1
13fd89b0-51dd-4959-ace4-,1,3,3,1,0,187.26,166.89,98.2,2,0,0,0:12:02,1,2,0
bf626aae-4eb1-41b6-ba21-,1,3,2,1,0,187.27,263.62,65.54,4,0,0,2:10:07,1,9,0
bf626aae-4eb1-41b6-ba21-,0,2,2,0,1,142.92,204.1,106.18,1,0,0,2:17:48,1,2,1
bf626aae-4eb1-41b6-ba21-,1,1,4,1,1,171.99,209.7,140.49,3,0,0,1:24:34,1,7,0
bf626aae-4eb1-41b6-ba21-,0,3,8,0,0,99.23,216.9,55.74,4,0,0,1:34:26,1,8,1
bf626aae-4eb1-41b6-ba21-,0,2,8,1,0,66.92,227.4,62.83,3,3,1,1:08:37,1,8,0
bf626aae-4eb1-41b6-ba21-,0,1,8,1,0,50.45,343.63,141.3,1,2,1,2:16:01,1,9,1
52a7971f-77d0-4bd8-83d8-,1,2,5,1,0,65.04,222.0,55.24,1,1,0,2:00:29,0,0,1
52a7971f-77d0-4bd8-83d8-,0,3,1,0,0,219.94,267.8,43.87,3,3,1,0:43:24,0,3,0
52a7971f-77d0-4bd8-83d8-,0,3,6,1,0,148.01,293.82,74.63,1,0,1,0:17:20,0,4,1
52a7971f-77d0-4bd8-83d8-,1,3,6,1,1,69.59,324.4,149.06,1,2,1,0:55:51,0,6,1
52a7971f-77d0-4bd8-83d8-,0,1,7,0,0,85.19,279.08,137.71,1,0,0,1:57:28,0,4,1
52a7971f-77d0-4bd8-83d8-,0,1,3,0,1,104.45,101.01,77.17,5,3,0,1:55:50,0,7,1
341848c7-27d7-4c68-9dbe-,1,1,9,0,0,99.18,307.45,70.99,2,3,1,0:12:55,0,8,0
341848c7-27d7-4c68-9dbe-,1,3,9,0,0,61.44,103.26,50.44,0,3,0,1:54:14,0,0,1
341848c7-27d7-4c68-9dbe-,1,1,6,0,0,232.08,148.86,63.61,3,1,1,1:45:58,0,5,1
341848c7-27d7-4c68-9dbe-,1,3,5,0,1,98.39,254.92,64.34,0,2,0,1:46:29,0,7,1
341848c7-27d7-4c68-9dbe-,0,1,10,0,0,97.05,169.12,79.12,2,2,1,1:37:36,0,5,1
341848c7-27d7-4c68-9dbe-,1,3,2,0,0,243.78,122.79,117.36,0,2,0,1:33:59,0,3,1
9fbfffe3-ade5-495c-8f41-,0,2,9,1,1,218.4,267.2,53.46,5,2,1,2:21:22,0,4,0
9fbfffe3-ade5-495c-8f41-,1,2,2,1,0,61.99,238.89,113.12,3,2,1,0:49:35,0,5,1
9fbfffe3-ade5-495c-8f41-,1,2,2,0,0,144.47,243.98,110.88,5,3,1,2:15:23,0,8,0
9fbfffe3-ade5-495c-8f41-,1,3,4,0,1,98.43,262.59,84.07,4,0,0,0:15:28,0,9,1
9fbfffe3-ade5-495c-8f41-,0,2,8,0,1,181.4,133.99,61.11,5,2,0,0:42:11,0,3,1
9fbfffe3-ade5-495c-8f41-,1,1,8,0,1,201.03,173.43,118.3,1,0,0,0:46:09,0,8,1
558dadeb-a716-4e6d-aba6-,1,3,6,1,1,187.57,102.83,136.32,1,1,0,0:45:18,0,1,1
558dadeb-a716-4e6d-aba6-,0,3,6,0,0,159.96,303.15,84.47,0,1,1,0:38:36,0,1,0
558dadeb-a716-4e6d-aba6-,1,1,3,0,1,110.7,248.06,60.37,4,3,1,0:31:22,0,5,0
558dadeb-a716-4e6d-aba6-,0,1,3,1,0,133.11,134.12,55.59,0,1,1,1:42:11,0,2,1
558dadeb-a716-4e6d-aba6-,1,3,2,0,0,221.58,185.18,125.46,4,2,1,1:22:03,0,2,0
558dadeb-a716-4e6d-aba6-,0,3,3,0,0,77.93,318.68,149.41,1,0,1,2:18:35,0,3,0
e32860c4-289c-405e-9255-,1,3,6,1,1,189.79,255.78,66.23,5,1,1,1:29:50,0,8,0
e32860c4-289c-405e-9255-,0,1,8,1,1,228.1,312.49,81.34,4,3,1,0:49:18,0,2,1
e32860c4-289c-405e-9255-,1,3,3,0,0,159.47,169.49,98.17,5,2,1,1:16:53,0,9,1
e32860c4-289c-405e-9255-,0,1,10,1,1,60.8,142.44,109.6,3,1,1,1:19:03,0,10,1
e32860c4-289c-405e-9255-,1,3,6,0,0,58.73,242.02,145.8,4,3,0,1:20:31,0,1,1
e32860c4-289c-405e-9255-,1,1,7,0,1,98.47,282.27,143.02,1,3,0,1:50:18,0,1,0
ce887e4e-d43b-44a8-a5b8-,1,1,5,0,0,167.03,167.94,68.6,5,0,1,1:34:35,0,9,0
ce887e4e-d43b-44a8-a5b8-,1,1,9,1,0,106.78,328.35,58.5,2,0,0,1:37:36,0,8,1
ce887e4e-d43b-44a8-a5b8-,1,1,10,1,1,240.09,154.03,58.63,3,1,0,0:58:30,0,10,0
ce887e4e-d43b-44a8-a5b8-,1,3,4,1,1,197.19,278.31,145.38,1,1,0,2:23:39,0,0,1
ce887e4e-d43b-44a8-a5b8-,0,2,5,0,0,203.34,269.09,109.15,3,3,1,1:08:54,0,9,0
ce887e4e-d43b-44a8-a5b8-,0,1,2,0,0,68.91,235.69,104.15,4,1,1,0:27:56,0,10,0
895d800d-35fb-47bd-a332-,1,1,7,0,0,154.67,292.2,95.77,3,2,1,1:25:37,0,8,1
895d800d-35fb-47bd-a332-,1,1,7,1,1,170.31,176.25,123.95,3,2,1,0:23:15,0,6,1
895d800d-35fb-47bd-a332-,1,1,3,0,1,79.89,227.61,63.59,5,2,0,0:47:22,0,3,0
895d800d-35fb-47bd-a332-,1,2,5,0,0,130.26,322.11,146.58,1,0,1,2:29:59,0,1,1
895d800d-35fb-47bd-a332-,1,1,3,1,1,60.34,270.03,140.18,4,3,1,0:39:30,0,4,0
895d800d-35fb-47bd-a332-,1,3,2,0,1,105.69,228.91,94.21,0,3,1,1:58:51,0,1,0
b3ec6521-e6e5-4e7f-af12-,0,1,6,0,1,170.86,185.47,44.11,5,3,0,2:06:06,1,9,1
b3ec6521-e6e5-4e7f-af12-,0,2,8,1,1,235.14,342.53,123.49,5,1,0,0:51:31,1,8,1
b3ec6521-e6e5-4e7f-af12-,0,3,9,0,0,132.49,167.26,133.28,5,2,1,0:51:33,1,0,1
b3ec6521-e6e5-4e7f-af12-,0,1,8,1,1,86.81,196.61,51.4,1,3,0,0:47:57,1,6,0
b3ec6521-e6e5-4e7f-af12-,0,1,2,1,0,69.33,196.99,126.46,2,3,1,1:06:23,1,9,0
b3ec6521-e6e5-4e7f-af12-,0,2,1,0,1,186.47,159.86,125.43,5,0,1,1:39:15,1,0,0
d897ab44-ddf9-431c-807b-,1,3,2,1,0,110.07,275.47,97.08,0,0,1,2:03:45,0,7,1
d897ab44-ddf9-431c-807b-,0,1,5,1,1,196.52,156.75,71.73,3,0,1,2:00:52,0,1,1
d897ab44-ddf9-431c-807b-,1,1,6,1,1,191.9,116.48,53.15,1,3,0,0:14:39,0,1,0
d897ab44-ddf9-431c-807b-,1,1,9,0,1,143.43,284.09,90.84,2,1,1,1:48:13,0,9,1
d897ab44-ddf9-431c-807b-,0,3,4,0,1,136.74,129.69,119.34,4,3,0,0:48:44,0,0,1
d897ab44-ddf9-431c-807b-,1,1,10,1,1,195.99,205.45,117.07,3,2,0,1:35:48,0,2,0
f519eacc-a1b5-491f-a8a3-,0,3,9,0,1,118.81,116.63,86.64,4,0,1,0:25:41,0,10,0
f519eacc-a1b5-491f-a8a3-,0,1,7,1,1,239.93,337.98,59.88,2,2,1,0:48:40,0,1,0
f519eacc-a1b5-491f-a8a3-,1,2,1,0,1,142.07,100.0,70.27,5,2,0,1:03:29,0,3,1
f519eacc-a1b5-491f-a8a3-,1,3,4,0,1,217.24,139.83,91.88,1,1,1,1:37:42,0,4,0
f519eacc-a1b5-491f-a8a3-,0,3,4,1,1,75.71,201.25,66.37,0,2,0,0:17:08,0,2,1
f519eacc-a1b5-491f-a8a3-,1,2,7,0,0,127.82,177.54,67.82,5,1,0,0:47:40,0,4,1
1a07ca04-e564-4b90-9dea-,0,2,8,1,1,178.57,160.32,130.29,3,2,0,2:29:32,1,10,0
1a07ca04-e564-4b90-9dea-,0,1,10,0,1,63.13,315.8,91.78,4,2,0,2:07:41,1,8,1
1a07ca04-e564-4b90-9dea-,1,3,6,0,1,86.93,192.12,140.3,0,0,1,1:05:12,1,10,0
1a07ca04-e564-4b90-9dea-,0,2,5,0,1,73.73,263.83,145.37,3,0,0,2:29:50,1,6,0
1a07ca04-e564-4b90-9dea-,1,2,1,0,1,205.31,165.66,71.5,1,0,1,1:07:40,1,9,1
1a07ca04-e564-4b90-9dea-,1,3,3,0,0,136.45,230.43,41.53,2,1,0,0:13:18,1,0,1
bce2d8f3-4f68-4328-9f43-,0,1,3,1,0,101.71,321.4,137.19,2,1,1,1:26:34,0,5,0
bce2d8f3-4f68-4328-9f43-,1,1,5,0,0,190.73,312.3,66.13,1,2,1,0:29:43,0,10,0
bce2d8f3-4f68-4328-9f43-,0,3,5,1,0,221.48,287.45,62.27,0,0,1,0:14:25,0,9,1
bce2d8f3-4f68-4328-9f43-,0,1,5,1,0,144.16,268.41,145.27,3,0,1,0:46:49,0,7,0
bce2d8f3-4f68-4328-9f43-,1,3,3,1,1,212.44,189.2,145.09,4,0,1,1:05:45,0,7,0
bce2d8f3-4f68-4328-9f43-,0,3,3,0,1,100.82,223.06,143.07,5,2,0,0:37:08,0,6,1
f8f15787-2a0b-4f1d-9249-,0,3,10,0,0,231.26,171.29,146.34,3,0,0,0:30:55,0,3,1
f8f15787-2a0b-4f1d-9249-,0,1,6,1,0,71.07,314.22,138.24,5,0,1,1:16:04,0,10,1
f8f15787-2a0b-4f1d-9249-,1,3,5,0,0,129.2,317.32,111.2,4,1,0,1:07:57,0,9,1
f8f15787-2a0b-4f1d-9249-,1,2,8,1,1,195.73,291.98,140.31,0,1,1,0:54:32,0,3,1
f8f15787-2a0b-4f1d-9249-,1,2,5,1,0,219.29,197.04,143.31,5,2,0,2:10:36,0,10,0
f8f15787-2a0b-4f1d-9249-,0,3,9,1,0,230.41,225.1,98.63,4,3,0,0:15:51,0,6,0
2310d797-b512-45e7-b04c-,1,3,9,0,0,156.04,105.19,141.03,2,0,1,1:08:58,1,1,0
2310d797-b512-45e7-b04c-,0,2,2,0,1,71.51,339.03,146.19,2,2,1,0:36:32,1,9,1
2310d797-b512-45e7-b04c-,0,1,9,1,0,73.98,154.97,41.57,5,3,1,0:18:38,1,0,0
2310d797-b512-45e7-b04c-,0,2,5,0,0,247.91,345.11,40.77,4,2,1,0:59:44,1,1,1
2310d797-b512-45e7-b04c-,0,2,6,1,0,201.4,156.23,142.81,2,0,0,1:33:13,1,0,0
2310d797-b512-45e7-b04c-,0,3,1,1,1,56.44,139.48,143.69,5,3,0,1:35:56,1,10,1
6251cc0c-8dfb-4a7d-96fb-,1,2,3,0,0,163.97,294.51,146.39,0,3,0,0:12:11,1,2,1
6251cc0c-8dfb-4a7d-96fb-,0,1,8,0,1,217.38,321.29,81.41,3,3,1,1:43:18,1,0,0
6251cc0c-8dfb-4a7d-96fb-,0,3,10,0,0,170.02,109.66,113.13,3,2,1,0:24:59,1,9,0
6251cc0c-8dfb-4a7d-96fb-,0,2,6,1,1,182.85,277.44,45.68,0,1,1,0:56:26,1,4,1
6251cc0c-8dfb-4a7d-96fb-,0,2,4,0,1,112.4,198.61,144.47,4,3,1,0:28:36,1,4,1
6251cc0c-8dfb-4a7d-96fb-,0,1,1,0,1,199.62,197.22,69.02,5,2,1,1:47:20,1,3,0
f5346400-2424-449d-b700-,0,3,9,1,0,53.03,233.37,129.75,4,3,0,1:45:45,1,0,1
f5346400-2424-449d-b700-,1,2,3,1,1,185.31,266.02,83.89,5,1,1,1:28:52,1,10,1
f5346400-2424-449d-b700-,0,1,9,1,0,198.81,219.48,123.22,3,0,0,1:45:43,1,7,1
f5346400-2424-449d-b700-,0,1,8,1,1,104.08,113.09,127.07,0,0,0,1:34:02,1,7,0
